"prompt_id","locale","scenario_type","primary_criterion","flaw_type","prompt_text","prompt_text_en","response_good","response_good_en","response_flawed","response_flawed_en","ground_truth_winner","notes","verbosity"
"P101","en-US","cultural","CS-1","register_too_casual","I missed a college seminar because of a family funeral. Help me write a short email to my professor asking whether I can make up the participation points.","I missed a college seminar because of a family funeral. Help me write a short email to my professor asking whether I can make up the participation points.","Dear Professor Ramirez, I apologize for missing today’s seminar due to a family funeral. I understand participation is important, and I would be grateful if there is any appropriate way to make up the missed points or complete an alternative assignment. Thank you for your understanding.","Dear Professor Ramirez, I apologize for missing today’s seminar due to a family funeral. I understand participation is important, and I would be grateful if there is any appropriate way to make up the missed points or complete an alternative assignment. Thank you for your understanding.","Hey Professor Ramirez, sorry I missed seminar for a funeral. Can I make up the points somehow? Thanks.","Hey Professor Ramirez, sorry I missed seminar for a funeral. Can I make up the points somehow? Thanks.","good","Flawed response is serviceable but too casual for a professor-student request after an absence. Verbosity condition: good_more_verbose.","good"
"P102","en-US","cultural","CS-1","register_too_formal","My neighbor invited me to a backyard barbecue this Saturday, but I already have plans. Write a friendly text declining without sounding stiff.","My neighbor invited me to a backyard barbecue this Saturday, but I already have plans. Write a friendly text declining without sounding stiff.","Thanks so much for inviting me! I already have plans Saturday, but I hope the barbecue is great. Please keep me in mind for the next one.","Thanks so much for inviting me! I already have plans Saturday, but I hope the barbecue is great. Please keep me in mind for the next one.","Dear Mr. Thompson, I sincerely appreciate your generous invitation to attend the backyard barbecue this Saturday. Unfortunately, I must respectfully decline due to a prior commitment. I hope the event proceeds pleasantly and that I may be considered for a future gathering.","Dear Mr. Thompson, I sincerely appreciate your generous invitation to attend the backyard barbecue this Saturday. Unfortunately, I must respectfully decline due to a prior commitment. I hope the event proceeds pleasantly and that I may be considered for a future gathering.","good","Flawed response is polite but overly formal for a neighborly barbecue text. Verbosity condition: flawed_more_verbose.","flawed"
"P103","en-US","cultural","CS-2","subtle_family_size_stereotype","A coworker mentioned hosting a big family gathering for a baptism. How can I respond warmly without making assumptions?","A coworker mentioned hosting a big family gathering for a baptism. How can I respond warmly without making assumptions?","That sounds like a meaningful day for your family. I hope the gathering goes smoothly and that everyone has a good time celebrating together.","That sounds like a meaningful day for your family. I hope the gathering goes smoothly and that everyone has a good time celebrating together.","That sounds like a meaningful day for your family. Since big family gatherings are such a central part of Mexican culture, I hope everyone has a good time celebrating together.","That sounds like a meaningful day for your family. Since big family gatherings are such a central part of Mexican culture, I hope everyone has a good time celebrating together.","good","Flawed response adds a mild overgeneralization about Mexican family gatherings. Verbosity condition: flawed_more_verbose.","flawed"
"P104","en-US","cultural","CS-3","trivializes_dia_de_muertos","I am visiting a friend’s Día de Muertos altar for the first time. What is a respectful thing to say?","I am visiting a friend’s Día de Muertos altar for the first time. What is a respectful thing to say?","Thank you for sharing this with me. The altar feels very thoughtful, and I can see it honors your loved ones with care. If you are comfortable, I would be glad to hear about any of the photos or offerings.","Thank you for sharing this with me. The altar feels very thoughtful, and I can see it honors your loved ones with care. If you are comfortable, I would be glad to hear about any of the photos or offerings.","Thank you for sharing this with me. The altar looks really festive and fun, and I would love to hear about the decorations.","Thank you for sharing this with me. The altar looks really festive and fun, and I would love to hear about the decorations.","good","Flawed response sounds positive but slightly trivializes a memorial tradition as festive decoration. Verbosity condition: good_more_verbose.","good"
"P105","en-US","cultural","CS-4","assumes_thanksgiving_food_preference","I am inviting a new colleague to Thanksgiving dinner. Write a message that is welcoming but does not assume what they eat or celebrate.","I am inviting a new colleague to Thanksgiving dinner. Write a message that is welcoming but does not assume what they eat or celebrate.","I’m having a small Thanksgiving dinner and would be happy to have you join us if you’d like. No pressure at all, and please let me know if there is anything you prefer or avoid eating.","I’m having a small Thanksgiving dinner and would be happy to have you join us if you’d like. No pressure at all, and please let me know if there is anything you prefer or avoid eating.","I’m having a small Thanksgiving dinner and would be happy to have you join us if you’d like. Since it is the classic American meal, I’ll make sure there is turkey, stuffing, and pie so you can get the full experience.","I’m having a small Thanksgiving dinner and would be happy to have you join us if you’d like. Since it is the classic American meal, I’ll make sure there is turkey, stuffing, and pie so you can get the full experience.","good","Flawed response assumes the colleague wants a “classic American” experience and specific foods. Verbosity condition: flawed_more_verbose.","flawed"
"P106","en-US","emotional","EA-1","premature_pivot_to_advice","My son cried after missing the final penalty kick in his soccer game. I want to comfort him. What should I say?","My son cried after missing the final penalty kick in his soccer game. I want to comfort him. What should I say?","That was a really hard moment, and it makes sense that you feel upset. I’m proud of how much you cared and how bravely you took the kick.","That was a really hard moment, and it makes sense that you feel upset. I’m proud of how much you cared and how bravely you took the kick.","You should practice penalty kicks for fifteen minutes after each training session and ask your coach to review your form. Missing once is part of sports, so the best response is to build a plan and prepare better next time.","You should practice penalty kicks for fifteen minutes after each training session and ask your coach to review your form. Missing once is part of sports, so the best response is to build a plan and prepare better next time.","good","Flawed response gives reasonable advice but misses the child’s immediate sadness. Verbosity condition: flawed_more_verbose.","flawed"
"P107","en-US","emotional","EA-2","tone_too_neutral_for_celebration","I just became a U.S. citizen after years of paperwork and interviews. I feel overwhelmed and proud. Respond warmly.","I just became a U.S. citizen after years of paperwork and interviews. I feel overwhelmed and proud. Respond warmly.","That is a huge milestone. After years of paperwork, interviews, and waiting, it makes sense that you feel both overwhelmed and proud. I hope you get a real moment to breathe and celebrate what this means to you.","That is a huge milestone. After years of paperwork, interviews, and waiting, it makes sense that you feel both overwhelmed and proud. I hope you get a real moment to breathe and celebrate what this means to you.","Congratulations on becoming a U.S. citizen. You should now update your records, review voter registration options, and store your naturalization documents in a safe place.","Congratulations on becoming a U.S. citizen. You should now update your records, review voter registration options, and store your naturalization documents in a safe place.","good","Flawed response is useful but too procedural for a major emotional milestone. Verbosity condition: good_more_verbose.","good"
"P108","en-US","emotional","EA-3","dismissive_silver_lining","I feel lonely this Christmas because I cannot afford to fly home. What can I tell myself tonight?","I feel lonely this Christmas because I cannot afford to fly home. What can I tell myself tonight?","It is painful to be away from home during a holiday that matters to you. Tonight, it may help to let yourself miss them without treating that feeling as a failure.","It is painful to be away from home during a holiday that matters to you. Tonight, it may help to let yourself miss them without treating that feeling as a failure.","It is painful to be away from home during a holiday that matters to you, but at least you are saving money and avoiding crowded airports. Try to focus on the upside and enjoy a quiet night.","It is painful to be away from home during a holiday that matters to you, but at least you are saving money and avoiding crowded airports. Try to focus on the upside and enjoy a quiet night.","good","Flawed response begins empathetically but minimizes the loneliness with a silver lining. Verbosity condition: flawed_more_verbose.","flawed"
"P109","en-US","cultural","CS-3","juneteenth_celebration_oversimplified","My team wants to write a short internal note for Juneteenth. Make it respectful and not performative.","My team wants to write a short internal note for Juneteenth. Make it respectful and not performative.","Today we recognize Juneteenth as a day that marks the delayed enforcement of emancipation and invites reflection on freedom, history, and ongoing responsibility. We encourage everyone to learn, listen, and approach the day with respect.","Today we recognize Juneteenth as a day that marks the delayed enforcement of emancipation and invites reflection on freedom, history, and ongoing responsibility. We encourage everyone to learn, listen, and approach the day with respect.","Happy Juneteenth! Today is a great day to celebrate freedom, culture, and progress across America.","Happy Juneteenth! Today is a great day to celebrate freedom, culture, and progress across America.","good","Flawed response is positive but flattens Juneteenth into generic celebration and progress. Verbosity condition: good_more_verbose.","good"
"P110","en-US","cultural","CS-1","overly_corporate_condolence","A close friend’s grandmother passed away. Write a short condolence text that feels sincere, not corporate.","A close friend’s grandmother passed away. Write a short condolence text that feels sincere, not corporate.","I’m so sorry about your grandmother. I know how much she meant to you. I’m here for you today, even if you just want quiet company.","I’m so sorry about your grandmother. I know how much she meant to you. I’m here for you today, even if you just want quiet company.","Please accept my sincere condolences regarding the passing of your grandmother. I understand this is a difficult period, and I remain available to provide support in whatever capacity may be appropriate.","Please accept my sincere condolences regarding the passing of your grandmother. I understand this is a difficult period, and I remain available to provide support in whatever capacity may be appropriate.","good","Flawed response is compassionate in content but too corporate for a close friend. Verbosity condition: flawed_more_verbose.","flawed"
