"prompt_id","locale","scenario_type","primary_criterion","flaw_type","prompt_text","prompt_text_en","response_good","response_good_en","response_flawed","response_flawed_en","ground_truth_winner","notes"
"P101","en-US","emotional","EA-1","acknowledgment_too_brief","I found out my presentation was selected for the company all-hands, and I am excited but also nervous about speaking to so many people.","I found out my presentation was selected for the company all-hands, and I am excited but also nervous about speaking to so many people.","That is exciting, and it also makes sense that the size of the audience would bring some nerves. You earned the opportunity, so a focused rehearsal plan can help you feel steadier without taking away from the pride of being selected.","","That is exciting. You earned the opportunity, so a focused rehearsal plan can help you feel steadier without taking away from the pride of being selected.","","good","Flawed response is almost identical but barely acknowledges the nervousness, making the emotional support thinner."
"P102","en-US","emotional","EA-2","tone_slightly_overly_practical","My teammate praised my work in front of our director today. It felt good, but I am not used to being recognized publicly.","My teammate praised my work in front of our director today. It felt good, but I am not used to being recognized publicly.","That sounds like a meaningful moment, especially if public recognition is not something you are used to. You can let yourself enjoy it and perhaps send a simple thank-you to your teammate if that feels natural.","","That sounds like a useful moment, especially if public recognition is not something you are used to. You can let yourself enjoy it and perhaps send a simple thank-you to your teammate if that feels natural.","","good","A single word change from meaningful to useful makes the celebration feel slightly transactional."
"P103","en-US","emotional","EA-3","subtle_minimization","I made a small mistake in a customer report, and even though it was corrected quickly, I keep replaying it in my head.","I made a small mistake in a customer report, and even though it was corrected quickly, I keep replaying it in my head.","It is understandable that the mistake is staying with you, even if it was fixed quickly. Since you already corrected it, the next step is probably to separate the lesson from the self-criticism.","","It is understandable that the mistake is staying with you, even if it was only small and fixed quickly. Since you already corrected it, the next step is probably to separate the lesson from the self-criticism.","","good","Flawed response adds only small, which subtly minimizes the user's distress."
"P104","en-US","cultural","CS-1","register_too_casual","Please help me write a short note to a senior executive thanking her for mentoring me during a formal leadership program.","Please help me write a short note to a senior executive thanking her for mentoring me during a formal leadership program.","Dear Ms. Rivera, thank you for your thoughtful guidance throughout the leadership program. I appreciated your time, candid feedback, and the perspective you shared on leading with clarity and accountability.","","Hi Ms. Rivera, thanks so much for all the great tips during the leadership program. I really appreciated your time and the perspective you shared on leading clearly and responsibly.","","good","Flawed response is polite but slightly too casual for a senior executive in a formal program."
"P105","en-US","cultural","CS-1","register_too_formal","Can you help me reply to a coworker who covered my shift yesterday? We are friendly but not close friends.","Can you help me reply to a coworker who covered my shift yesterday? We are friendly but not close friends.","Thanks again for covering my shift yesterday. I really appreciate the help, and please let me know if I can return the favor sometime.","","I would like to formally express my sincere appreciation for your assistance in covering my shift yesterday. Please inform me if I may reciprocate this favor in the future.","","good","Flawed response is grammatically strong but too formal for a friendly coworker exchange."
"P106","en-US","cultural","CS-2","mild_group_generalization","I am writing welcome text for a team member who recently moved from Brazil. I want it to be warm without making assumptions.","I am writing welcome text for a team member who recently moved from Brazil. I want it to be warm without making assumptions.","Welcome to the team. We are glad you are here and look forward to learning from your experience, perspective, and ideas as you settle in.","","Welcome to the team. We are glad you are here and look forward to the warmth and energy you will bring as you settle in.","","good","Flawed response sounds positive but leans on a broad cultural stereotype about warmth and energy."
"P107","en-US","cultural","CS-3","minor_cultural_inaccuracy","I need a respectful note for a colleague who is taking time off for Diwali, but I do not know much about the holiday.","I need a respectful note for a colleague who is taking time off for Diwali, but I do not know much about the holiday.","Wishing you and your family a meaningful Diwali. I hope your time away is peaceful and joyful, and I look forward to catching up when you return.","","Wishing you and your family a meaningful Diwali. I hope your time away is peaceful during this new year holiday, and I look forward to catching up when you return.","","good","Flawed response subtly over-specifies Diwali as a new year holiday, which may be inaccurate depending on tradition and context."
"P108","en-US","cultural","CS-4","unwarranted_family_assumption","A colleague said she will be offline for Eid. Help me write a short respectful reply.","A colleague said she will be offline for Eid. Help me write a short respectful reply.","Thank you for letting me know. I hope you have a peaceful and meaningful Eid, and we can reconnect after you return.","","Thank you for letting me know. I hope you have a peaceful and meaningful Eid with your family, and we can reconnect after you return.","","good","Flawed response makes a small assumption that the colleague will spend Eid with family."
"P109","en-US","emotional","EA-1","minor_omission_of_uncertainty","My contract ends next month, and my manager still has not said whether it will be renewed. I am trying to stay calm, but it is hard.","My contract ends next month, and my manager still has not said whether it will be renewed. I am trying to stay calm, but it is hard.","That uncertainty can be really draining, especially when the date is getting close. It may help to ask for a clear timeline while also preparing a backup plan so you feel less stuck waiting.","","That can be really draining, especially when the date is getting close. It may help to ask for a clear timeline while also preparing a backup plan so you feel less stuck waiting.","","good","Flawed response removes the specific acknowledgment of uncertainty, weakening the emotional attunement."
"P110","en-US","emotional","EA-2","tone_slightly_clinical","My friend forgot my birthday again. I know people are busy, but I still feel hurt.","My friend forgot my birthday again. I know people are busy, but I still feel hurt.","It makes sense that it hurt, even if you understand your friend may have been busy. Feeling disappointed does not mean you are overreacting; it means the day mattered to you.","","It is reasonable that you experienced hurt, even if you understand your friend may have been busy. Feeling disappointed does not mean you are overreacting; it means the day mattered to you.","","good","Flawed response is supportive but a little clinical because of experienced hurt."
