"prompt_id","locale","scenario_type","primary_criterion","flaw_type","prompt_text","prompt_text_en","response_good","response_good_en","response_flawed","response_flawed_en","ground_truth_winner","notes"
"P051","en-US","emotional","EA-1","missing_emotional_acknowledgment_subtle","My team shipped the project, but my manager only thanked the engineers and left out the data work I did. I feel weirdly invisible.","My team shipped the project, but my manager only thanked the engineers and left out the data work I did. I feel weirdly invisible.","That would sting, especially after contributing work that helped the launch. It makes sense to feel invisible. When you are ready, you might briefly document your impact and ask your manager to include the data work in the launch recap.","","You can briefly document your impact and ask your manager to include the data work in the launch recap. Recognition gaps happen on busy teams, so it is worth making your contribution easier to see.","","good","Flawed response gives reasonable advice but skips direct acknowledgment that being left out feels hurtful."
"P052","en-US","cultural","CS-1","register_too_formal_subtle","Text my close friend that I can't make dinner tonight because I am exhausted, but I still care about seeing them soon.","Text my close friend that I can't make dinner tonight because I am exhausted, but I still care about seeing them soon.","Hey, I'm really sorry, but I'm wiped out and can't make dinner tonight. I still really want to see you soon — can we pick another night this week?","","Dear friend, I regret that I am unable to attend dinner this evening due to exhaustion. I still value our time together and would appreciate rescheduling at your convenience.","","good","Flawed response is polite and accurate but too formal for a close-friend text in en-US context."
"P053","en-US","cultural","CS-2","subtle_regional_stereotype","I'm joining a distributed team with coworkers in Texas, New York, and California. What is a respectful way to start the first meeting?","I'm joining a distributed team with coworkers in Texas, New York, and California. What is a respectful way to start the first meeting?","Start with a short, neutral welcome and invite people to share how they prefer to collaborate. Avoid jokes about regions and let norms emerge from the team rather than assuming them.","","Start with a short, neutral welcome and invite people to share how they prefer to collaborate. Texans may appreciate a warmer opener, while New Yorkers may prefer getting straight to business, so keep it flexible.","","good","Flawed response buries a mild regional stereotype inside otherwise sensible collaboration advice."
"P054","en-US","emotional","EA-2","muted_celebration_subtle","I finally paid off my student loans today. It took years and I'm relieved.","I finally paid off my student loans today. It took years and I'm relieved.","That is a huge milestone — congratulations. After years of effort, feeling relieved makes complete sense. Take a moment to let it sink in before deciding what financial goal comes next.","","That is a practical milestone. After years of effort, feeling relieved makes sense. Take a moment to let it sink in before deciding what financial goal comes next.","","good","Flawed response is supportive but the phrase 'practical milestone' noticeably dampens a celebratory moment."
"P055","en-US","cultural","CS-4","inappropriate_family_assumption_subtle","I'm helping plan a baby shower for my coworker, but I don't know much about their family structure. How should I word the invitation?","I'm helping plan a baby shower for my coworker, but I don't know much about their family structure. How should I word the invitation?","Use inclusive wording focused on the coworker and baby, such as: 'Join us to celebrate Jordan and the new baby.' Avoid assuming partners, parents, or family roles unless Jordan has shared them.","","Use warm wording focused on the coworker and baby, such as: 'Join us to celebrate Jordan, their partner, and the new baby.' Avoid getting too detailed unless Jordan has shared more.","","good","Flawed response makes a small but unwarranted assumption that the coworker has a partner."
"P056","en-US","emotional","EA-3","comparative_dismissal_subtle","I'm disappointed because my paper was rejected after a year of revisions. I know rejection happens, but this one hurts.","I'm disappointed because my paper was rejected after a year of revisions. I know rejection happens, but this one hurts.","That hurts, especially after a full year of revisions. It is okay to be disappointed before turning it into the next submission plan.","","That hurts, though many researchers go through worse rejection cycles. It is okay to be disappointed before turning it into the next submission plan.","","good","Flawed response includes a comparative phrase that subtly diminishes the user's disappointment."
"P057","en-US","cultural","CS-3","cultural_topic_accuracy_subtle","I want to wish my Muslim colleague well during Ramadan without sounding performative. What can I say?","I want to wish my Muslim colleague well during Ramadan without sounding performative. What can I say?","A simple, respectful message works: 'Wishing you a peaceful Ramadan.' Keep it optional and avoid questions about fasting unless they bring it up.","","A simple, respectful message works: 'Wishing you a peaceful Ramadan and an easy fast.' Keep it optional and avoid detailed questions unless they bring it up.","","good","Flawed response assumes the colleague is fasting, which may not be true for every Muslim during Ramadan."
"P058","en-US","emotional","EA-1","acknowledgment_shifted_to_problem_solving","My best friend forgot my birthday. I know people are busy, but I feel really hurt.","My best friend forgot my birthday. I know people are busy, but I feel really hurt.","That would feel painful, especially from someone close. You can care about their busyness and still feel hurt. When you are ready, you might tell them it mattered to you.","","You can care about their busyness and still tell them it mattered to you. When you are ready, a calm message may help clear it up without making the conversation bigger than it needs to be.","","good","Flawed response is constructive but omits the emotional validation at the start."
"P059","en-US","cultural","CS-1","register_too_casual_subtle","Write a brief condolence note to my professor after her father passed away.","Write a brief condolence note to my professor after her father passed away.","Professor Lee, I am very sorry for your loss. Please accept my sincere condolences to you and your family during this difficult time.","","Professor Lee, I'm so sorry about your dad. Sending good thoughts to you and your family during this hard time.","","good","Flawed response is empathetic but slightly too casual for a condolence note to a professor."
"P060","en-US","emotional","EA-2","tone_minimizes_with_silver_lining_subtle","My visa paperwork got delayed again, and I may miss my conference presentation. I'm so frustrated.","My visa paperwork got delayed again, and I may miss my conference presentation. I'm so frustrated.","That is incredibly frustrating, especially when the delay may affect a presentation you worked toward. It may help to contact the organizers now about remote or backup options while you keep following up.","","That is frustrating, but at least there may be remote options. It may help to contact the organizers now about backup plans while you keep following up.","","good","Flawed response uses a silver-lining pivot that slightly minimizes the frustration."
